city,country,month_year,max_temp_c,min_temp_c,avg_temp_c,date
Berlin,Germany,April     2023,11.9,4.5,7.6,2023-04-18
Berlin,Germany,April     2023,8.2,3.1,5.1,2023-04-19
Berlin,Germany,April     2023,13.2,3.8,8.5,2023-04-20
Berlin,Germany,April     2023,19.1,8.7,13.2,2023-04-21
Berlin,Germany,April     2023,20.0,7.7,13.9,2023-04-22
Berlin,Germany,April     2023,16.4,10.3,12.7,2023-04-23
Berlin,Germany,April     2023,16.0,8.2,12.5,2023-04-24
Berlin,Germany,April     2023,11.2,5.1,7.8,2023-04-25
Berlin,Germany,April     2023,10.3,2.3,6.4,2023-04-26
Berlin,Germany,April     2023,12.0,2.2,7.5,2023-04-27
Berlin,Germany,April     2023,13.6,3.3,8.9,2023-04-28
Berlin,Germany,April     2023,12.5,8.7,10.6,2023-04-29
Berlin,Germany,April     2023,15.7,4.6,9.9,2023-04-30
Berlin,Germany,May       2023,18.8,4.2,11.7,2023-05-01
Berlin,Germany,May       2023,12.9,7.3,10.0,2023-05-02
Berlin,Germany,May       2023,15.4,4.8,9.9,2023-05-03
Berlin,Germany,May       2023,18.0,4.3,11.3,2023-05-04
Berlin,Germany,May       2023,18.1,7.0,12.7,2023-05-05
Berlin,Germany,May       2023,10.8,7.0,8.6,2023-05-06
Berlin,Germany,May       2023,14.1,7.8,10.2,2023-05-07
Berlin,Germany,May       2023,16.9,5.1,11.0,2023-05-08
Berlin,Germany,May       2023,19.5,6.5,13.0,2023-05-09
Berlin,Germany,May       2023,17.9,9.5,13.8,2023-05-10
Berlin,Germany,May       2023,20.4,11.4,15.8,2023-05-11
Berlin,Germany,May       2023,21.1,11.2,16.1,2023-05-12
Berlin,Germany,May       2023,21.5,10.8,16.1,2023-05-13
Berlin,Germany,May       2023,19.2,9.3,14.9,2023-05-14
Berlin,Germany,May       2023,18.6,10.6,14.5,2023-05-15
Berlin,Germany,May       2023,17.2,8.9,12.0,2023-05-16
Berlin,Germany,May       2023,15.0,6.0,10.5,2023-05-17
Berlin,Germany,May       2023,15.2,5.2,10.8,2023-05-18
Berlin,Germany,May       2023,18.1,6.9,13.0,2023-05-19
Berlin,Germany,May       2023,21.0,9.3,14.8,2023-05-20
Berlin,Germany,May       2023,26.6,13.5,19.7,2023-05-21
Berlin,Germany,May       2023,26.2,14.6,20.0,2023-05-22
Berlin,Germany,May       2023,17.6,11.1,15.2,2023-05-23
Berlin,Germany,May       2023,16.5,7.9,12.6,2023-05-24
Berlin,Germany,May       2023,19.9,8.8,14.6,2023-05-25
Berlin,Germany,May       2023,19.6,8.2,13.8,2023-05-26
Berlin,Germany,May       2023,20.9,8.1,15.0,2023-05-27
Berlin,Germany,May       2023,23.3,9.7,17.0,2023-05-28
Berlin,Germany,May       2023,20.9,12.0,16.0,2023-05-29
Berlin,Germany,May       2023,22.3,8.7,15.6,2023-05-30
Berlin,Germany,May       2023,24.6,10.4,17.6,2023-05-31
Berlin,Germany,June      2023,23.2,10.8,16.8,2023-06-01
Berlin,Germany,June      2023,20.0,10.4,15.1,2023-06-02
Berlin,Germany,June      2023,21.2,7.5,14.5,2023-06-03
Berlin,Germany,June      2023,23.3,9.2,16.8,2023-06-04
Berlin,Germany,June      2023,25.1,11.3,19.2,2023-06-05
Berlin,Germany,June      2023,21.7,14.8,18.5,2023-06-06
Berlin,Germany,June      2023,26.6,15.9,20.9,2023-06-07
Berlin,Germany,June      2023,27.6,16.1,21.9,2023-06-08
Berlin,Germany,June      2023,27.9,17.2,22.3,2023-06-09
Berlin,Germany,June      2023,28.9,15.5,22.3,2023-06-10
Berlin,Germany,June      2023,27.4,14.5,21.5,2023-06-11
Berlin,Germany,June      2023,26.6,14.1,20.9,2023-06-12
Berlin,Germany,June      2023,21.3,13.9,17.8,2023-06-13
Berlin,Germany,June      2023,22.3,12.5,17.5,2023-06-14
Berlin,Germany,June      2023,21.8,12.7,17.2,2023-06-15
Berlin,Germany,June      2023,19.4,13.5,16.1,2023-06-16
Berlin,Germany,June      2023,23.7,13.1,18.2,2023-06-17
Berlin,Germany,June      2023,26.1,13.2,20.2,2023-06-18
Berlin,Germany,June      2023,28.3,15.6,22.2,2023-06-19
Berlin,Germany,June      2023,28.3,18.6,23.6,2023-06-20
Berlin,Germany,June      2023,30.1,19.8,24.6,2023-06-21
Berlin,Germany,June      2023,29.0,18.2,24.0,2023-06-22
Berlin,Germany,June      2023,19.1,14.9,17.2,2023-06-23
Berlin,Germany,June      2023,25.4,13.2,19.7,2023-06-24
Berlin,Germany,June      2023,26.7,17.6,22.0,2023-06-25
Berlin,Germany,June      2023,31.0,18.1,22.9,2023-06-26
