city,month_year,max_temp_c,min_temp_c,avg_temp_c
Berlin,April     2023,13.85,5.58,9.58
Berlin,April     2024,17.34,9.38,13.18
Berlin,August    2023,24.63,16.53,20.28
Berlin,December  2023,5.41,2.1,3.9
Berlin,February  2024,9.55,4.82,6.95
Berlin,January   2024,3.71,-0.22,1.8
Berlin,July      2023,25.51,15.67,20.5
Berlin,June      2023,24.75,14.25,19.6
Berlin,March     2024,12.09,4.95,8.29
Berlin,May       2023,18.97,8.58,13.8
Berlin,November  2023,8.18,4.03,6.13
Berlin,October   2023,15.83,9.99,12.65
Berlin,September 2023,25.36,15.59,20.21
Paris,April     2023,14.52,7.21,10.82
Paris,April     2024,17.29,10.05,13.13
Paris,August    2023,24.85,16.23,20.3
Paris,December  2023,9.57,6.12,7.8
Paris,February  2024,11.5,7.11,9.15
Paris,January   2024,7.22,2.87,4.84
Paris,July      2023,25.25,15.58,20.29
Paris,June      2023,26.21,15.01,20.53
Paris,March     2024,12.59,6.99,9.52
Paris,May       2023,19.24,9.53,14.31
Paris,November  2023,11.6,7.51,9.45
Paris,October   2023,19.59,12.98,15.95
Paris,September 2023,26.32,17.05,21.4
Prague,April     2023,13.6,4.89,9.34
Prague,April     2024,18.49,8.95,13.26
Prague,August    2023,25.05,15.88,20.12
Prague,December  2023,4.9,0.37,2.71
Prague,February  2024,9.18,4.46,6.72
Prague,January   2024,3.93,-1.1,1.07
Prague,July      2023,27.03,15.23,21.03
Prague,June      2023,23.22,12.24,17.86
Prague,March     2024,12.18,4.82,8.17
Prague,May       2023,17.75,7.71,12.81
Prague,November  2023,7.96,2.98,5.37
Prague,October   2023,16.98,9.11,12.55
Prague,September 2023,24.49,13.63,18.68
Rome,April     2023,20.07,10.4,14.89
Rome,April     2024,21.21,11.83,16.09
Rome,August    2023,31.7,21.59,26.23
Rome,December  2023,14.04,8.9,11.12
Rome,February  2024,15.47,8.83,11.65
Rome,January   2024,13.11,7.8,10.08
Rome,July      2023,34.31,22.41,27.97
Rome,June      2023,28.8,18.28,23.34
Rome,March     2024,16.29,9.16,12.34
Rome,May       2023,22.54,13.49,17.67
Rome,November  2023,17.26,11.8,14.38
Rome,October   2023,24.7,17.96,20.87
Rome,September 2023,29.33,20.28,24.3
Warsaw,April     2023,15.56,6.73,11.17
Warsaw,April     2024,17.36,9.54,13.24
Warsaw,August    2023,26.64,17.2,21.65
Warsaw,December  2023,3.64,0.47,2.01
Warsaw,February  2024,8.28,3.91,6.03
Warsaw,January   2024,1.65,-2.07,-0.22
Warsaw,July      2023,26.81,16.06,21.29
Warsaw,June      2023,23.81,13.43,18.85
Warsaw,March     2024,11.14,4.38,7.58
Warsaw,May       2023,18.2,8.3,13.43
Warsaw,November  2023,6.79,3.21,5.03
Warsaw,October   2023,15.56,9.22,12.26
Warsaw,September 2023,25.96,15.3,20.36
