date,year,month_of_year,month,city,country,max_temp_c,min_temp_c,avg_temp_c,lat,lon,timezone_id,alpha-3,region,month_year
2023-04-22,2023,April    ,4,Berlin,Germany,20.0,7.7,13.9,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-21,2023,April    ,4,Berlin,Germany,19.1,8.7,13.2,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-20,2023,April    ,4,Berlin,Germany,13.2,3.8,8.5,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-27,2023,April    ,4,Berlin,Germany,12.0,2.2,7.5,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-18,2023,April    ,4,Berlin,Germany,11.9,4.5,7.6,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-30,2023,April    ,4,Berlin,Germany,15.7,4.6,9.9,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-19,2023,April    ,4,Berlin,Germany,8.2,3.1,5.1,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-28,2023,April    ,4,Berlin,Germany,13.6,3.3,8.9,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-23,2023,April    ,4,Berlin,Germany,16.4,10.3,12.7,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-26,2023,April    ,4,Berlin,Germany,10.3,2.3,6.4,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-24,2023,April    ,4,Berlin,Germany,16.0,8.2,12.5,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-25,2023,April    ,4,Berlin,Germany,11.2,5.1,7.8,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-04-29,2023,April    ,4,Berlin,Germany,12.5,8.7,10.6,52.52,13.4,Europe/Berlin,DEU,Europe,April     2023
2023-05-05,2023,May      ,5,Berlin,Germany,18.1,7.0,12.7,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-27,2023,May      ,5,Berlin,Germany,20.9,8.1,15.0,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-09,2023,May      ,5,Berlin,Germany,19.5,6.5,13.0,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-06,2023,May      ,5,Berlin,Germany,10.8,7.0,8.6,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-25,2023,May      ,5,Berlin,Germany,19.9,8.8,14.6,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-01,2023,May      ,5,Berlin,Germany,18.8,4.2,11.7,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-12,2023,May      ,5,Berlin,Germany,21.1,11.2,16.1,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-22,2023,May      ,5,Berlin,Germany,26.2,14.6,20.0,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-23,2023,May      ,5,Berlin,Germany,17.6,11.1,15.2,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-15,2023,May      ,5,Berlin,Germany,18.6,10.6,14.5,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-19,2023,May      ,5,Berlin,Germany,18.1,6.9,13.0,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-26,2023,May      ,5,Berlin,Germany,19.6,8.2,13.8,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-16,2023,May      ,5,Berlin,Germany,17.2,8.9,12.0,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-14,2023,May      ,5,Berlin,Germany,19.2,9.3,14.9,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-10,2023,May      ,5,Berlin,Germany,17.9,9.5,13.8,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-17,2023,May      ,5,Berlin,Germany,15.0,6.0,10.5,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-31,2023,May      ,5,Berlin,Germany,24.6,10.4,17.6,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-13,2023,May      ,5,Berlin,Germany,21.5,10.8,16.1,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-30,2023,May      ,5,Berlin,Germany,22.3,8.7,15.6,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-03,2023,May      ,5,Berlin,Germany,15.4,4.8,9.9,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-28,2023,May      ,5,Berlin,Germany,23.3,9.7,17.0,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-24,2023,May      ,5,Berlin,Germany,16.5,7.9,12.6,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-21,2023,May      ,5,Berlin,Germany,26.6,13.5,19.7,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-20,2023,May      ,5,Berlin,Germany,21.0,9.3,14.8,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-02,2023,May      ,5,Berlin,Germany,12.9,7.3,10.0,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-08,2023,May      ,5,Berlin,Germany,16.9,5.1,11.0,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-07,2023,May      ,5,Berlin,Germany,14.1,7.8,10.2,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-04,2023,May      ,5,Berlin,Germany,18.0,4.3,11.3,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-11,2023,May      ,5,Berlin,Germany,20.4,11.4,15.8,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-29,2023,May      ,5,Berlin,Germany,20.9,12.0,16.0,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-05-18,2023,May      ,5,Berlin,Germany,15.2,5.2,10.8,52.52,13.4,Europe/Berlin,DEU,Europe,May       2023
2023-06-11,2023,June     ,6,Berlin,Germany,27.4,14.5,21.5,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-07,2023,June     ,6,Berlin,Germany,26.6,15.9,20.9,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-28,2023,June     ,6,Berlin,Germany,22.2,12.1,17.5,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-08,2023,June     ,6,Berlin,Germany,27.6,16.1,21.9,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-22,2023,June     ,6,Berlin,Germany,29.0,18.2,24.0,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-29,2023,June     ,6,Berlin,Germany,25.5,13.8,20.6,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-09,2023,June     ,6,Berlin,Germany,27.9,17.2,22.3,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-02,2023,June     ,6,Berlin,Germany,20.0,10.4,15.1,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-19,2023,June     ,6,Berlin,Germany,28.3,15.6,22.2,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-03,2023,June     ,6,Berlin,Germany,21.2,7.5,14.5,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-13,2023,June     ,6,Berlin,Germany,21.3,13.9,17.8,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-05,2023,June     ,6,Berlin,Germany,25.1,11.3,19.2,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-12,2023,June     ,6,Berlin,Germany,26.6,14.1,20.9,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-24,2023,June     ,6,Berlin,Germany,25.4,13.2,19.7,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-06,2023,June     ,6,Berlin,Germany,21.7,14.8,18.5,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-25,2023,June     ,6,Berlin,Germany,26.7,17.6,22.0,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-27,2023,June     ,6,Berlin,Germany,20.7,13.6,17.4,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-10,2023,June     ,6,Berlin,Germany,28.9,15.5,22.3,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-14,2023,June     ,6,Berlin,Germany,22.3,12.5,17.5,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-18,2023,June     ,6,Berlin,Germany,26.1,13.2,20.2,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-20,2023,June     ,6,Berlin,Germany,28.3,18.6,23.6,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-15,2023,June     ,6,Berlin,Germany,21.8,12.7,17.2,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-04,2023,June     ,6,Berlin,Germany,23.3,9.2,16.8,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-30,2023,June     ,6,Berlin,Germany,22.0,15.8,18.7,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-26,2023,June     ,6,Berlin,Germany,31.0,18.1,22.9,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-01,2023,June     ,6,Berlin,Germany,23.2,10.8,16.8,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-16,2023,June     ,6,Berlin,Germany,19.4,13.5,16.1,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-21,2023,June     ,6,Berlin,Germany,30.1,19.8,24.6,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-23,2023,June     ,6,Berlin,Germany,19.1,14.9,17.2,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-06-17,2023,June     ,6,Berlin,Germany,23.7,13.1,18.2,52.52,13.4,Europe/Berlin,DEU,Europe,June      2023
2023-07-22,2023,July     ,7,Berlin,Germany,22.9,13.9,18.2,52.52,13.4,Europe/Berlin,DEU,Europe,July      2023
2023-07-09,2023,July     ,7,Berlin,Germany,33.1,17.1,25.5,52.52,13.4,Europe/Berlin,DEU,Europe,July      2023
2023-07-28,2023,July     ,7,Berlin,Germany,22.8,15.3,18.9,52.52,13.4,Europe/Berlin,DEU,Europe,July      2023
2023-07-11,2023,July     ,7,Berlin,Germany,31.3,16.7,24.2,52.52,13.4,Europe/Berlin,DEU,Europe,July      2023
